"departement";"region"
"Ain";"Auvergne-Rhône-Alpes"
"Aisne";"Hauts-de-France"
"Allier";"Auvergne-Rhône-Alpes"
"Alpes-de-Haute-Provence";"Provence-Alpes-Côte d'Azur"
"Hautes-Alpes";"Provence-Alpes-Côte d'Azur"
"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur"
"Ardeche";"Auvergne-Rhône-Alpes"
"Ardennes";"Grand Est"
"Ariege";"Occitanie"
"Aube";"Grand Est"
"Aude";"Occitanie"
"Aveyron";"Occitanie"
"Bouches-du-Rhone";"Provence-Alpes-Côte d'Azur"
"Calvados";"Normandie"
"Cantal";"Auvergne-Rhône-Alpes"
"Charente";"Nouvelle-Aquitaine"
"Charente-Maritime";"Nouvelle-Aquitaine"
"Cher";"Centre-Val de Loire"
"Correze";"Nouvelle-Aquitaine"
"Corse du Sud";"Corse"
"Haute-Corse";"Corse"
"Cote-Dor";"Bourgogne-Franche-Comté"
"Cotes-Darmor";"Bretagne"
"Creuse";"Nouvelle-Aquitaine"
"Dordogne";"Nouvelle-Aquitaine"
"Doubs";"Bourgogne-Franche-Comté"
"Drome";"Auvergne-Rhône-Alpes"
"Eure";"Normandie"
"Eure-et-Loir";"Centre-Val de Loire"
"Finistere";"Bretagne"
"Gard";"Occitanie"
"Haute-Garonne";"Occitanie"
"Gers";"Occitanie"
"Gironde";"Nouvelle-Aquitaine"
"Herault";"Occitanie"
"Ille-et-Vilaine";"Bretagne"
"Indre";"Centre-Val de Loire"
"Indre-et-Loire";"Centre-Val de Loire"
"Isere";"Auvergne-Rhône-Alpes"
"Jura";"Bourgogne-Franche-Comté"
"Landes";"Nouvelle-Aquitaine"
"Loir-et-Cher";"Centre-Val de Loire"
"Loire";"Auvergne-Rhône-Alpes"
"Haute-Loire";"Auvergne-Rhône-Alpes"
"Loire-Atlantique";"Pays de la Loire"
"Loiret";"Centre-Val de Loire"
"Lot";"Occitanie"
"Lot-et-Garonne";"Nouvelle-Aquitaine"
"Lozere";"Occitanie"
"Maine-et-Loire";"Pays de la Loire"
"Manche";"Normandie"
"Marne";"Grand Est"
"Haute-Marne";"Grand Est"
"Mayenne";"Pays de la Loire"
"Meurthe-et-Moselle";"Grand Est"
"Meuse";"Grand Est"
"Morbihan";"Bretagne"
"Moselle";"Grand Est"
"Nievre";"Bourgogne-Franche-Comté"
"Nord";"Hauts-de-France"
"Oise";"Hauts-de-France"
"Orne";"Normandie"
"Pas-de-Calais";"Hauts-de-France"
"Puy-de-Dome";"Auvergne-Rhône-Alpes"
"Pyrenees-Atlantiques";"Nouvelle-Aquitaine"
"Hautes-Pyrenees";"Occitanie"
"Pyrenees-Orientales";"Occitanie"
"Bas-Rhin";"Grand Est"
"Haut-Rhin";"Grand Est"
"Rhone";"Auvergne-Rhône-Alpes"
"Haute-Saone";"Bourgogne-Franche-Comté"
"Saone-et-Loire";"Bourgogne-Franche-Comté"
"Sarthe";"Pays de la Loire"
"Savoie";"Auvergne-Rhône-Alpes"
"Haute-Savoie";"Auvergne-Rhône-Alpes"
"Paris";"Ile-de-France"
"Seine-Maritime";"Normandie"
"Seine-et-Marne";"Ile-de-France"
"Yvelines";"Ile-de-France"
"Deux-Sevres";"Nouvelle-Aquitaine"
"Somme";"Hauts-de-France"
"Tarn";"Occitanie"
"Tarn-et-Garonne";"Occitanie"
"Var";"Provence-Alpes-Côte d'Azur"
"Vaucluse";"Provence-Alpes-Côte d'Azur"
"Vendee";"Pays de la Loire"
"Vienne";"Nouvelle-Aquitaine"
"Haute-Vienne";"Nouvelle-Aquitaine"
"Vosges";"Grand Est"
"Yonne";"Bourgogne-Franche-Comté"
"Territoire de Belfort";"Bourgogne-Franche-Comté"
"Essonne";"Ile-de-France"
"Hauts-de-Seine";"Ile-de-France"
"Seine-Saint-Denis";"Ile-de-France"
"Val-de-Marne";"Ile-de-France"
"Val-Doise";"Ile-de-France"
